,Country,Happiness Score,Year
0,Switzerland,7.587,2015
1,Iceland,7.561,2015
2,Denmark,7.527,2015
3,Norway,7.522,2015
4,Canada,7.427,2015
5,Finland,7.406,2015
6,Netherlands,7.378,2015
7,Sweden,7.364,2015
8,New Zealand,7.286,2015
9,Australia,7.284,2015
10,Israel,7.278,2015
11,Costa Rica,7.226,2015
12,Austria,7.2,2015
13,Mexico,7.187,2015
14,United States,7.119,2015
15,Brazil,6.983,2015
17,Ireland,6.94,2015
18,Belgium,6.937,2015
19,United Arab Emirates,6.901,2015
20,United Kingdom,6.867,2015
22,Venezuela,6.81,2015
23,Singapore,6.798,2015
24,Panama,6.786,2015
25,Germany,6.75,2015
26,Chile,6.67,2015
28,France,6.575,2015
29,Argentina,6.574,2015
31,Uruguay,6.485,2015
32,Colombia,6.477,2015
33,Thailand,6.455,2015
34,Saudi Arabia,6.411,2015
35,Spain,6.329,2015
36,Malta,6.302,2015
41,El Salvador,6.13,2015
43,Uzbekistan,6.003,2015
44,Slovakia,5.995,2015
45,Japan,5.987,2015
46,South Korea,5.984,2015
47,Ecuador,5.975,2015
48,Bahrain,5.96,2015
49,Italy,5.948,2015
50,Bolivia,5.89,2015
51,Moldova,5.889,2015
52,Paraguay,5.878,2015
53,Kazakhstan,5.855,2015
54,Slovenia,5.848,2015
55,Lithuania,5.833,2015
56,Nicaragua,5.828,2015
57,Peru,5.824,2015
59,Poland,5.791,2015
60,Malaysia,5.77,2015
61,Croatia,5.759,2015
63,Russia,5.716,2015
64,Jamaica,5.709,2015
66,Cyprus,5.689,2015
67,Algeria,5.605,2015
68,Kosovo,5.589,2015
70,Mauritius,5.477,2015
72,Estonia,5.429,2015
73,Indonesia,5.399,2015
74,Vietnam,5.36,2015
75,Turkey,5.332,2015
76,Kyrgyzstan,5.286,2015
77,Nigeria,5.268,2015
80,Pakistan,5.194,2015
81,Jordan,5.192,2015
82,Montenegro,5.192,2015
83,China,5.14,2015
84,Zambia,5.129,2015
85,Romania,5.124,2015
86,Serbia,5.123,2015
87,Portugal,5.102,2015
88,Latvia,5.098,2015
89,Philippines,5.073,2015
91,Morocco,5.013,2015
94,Albania,4.959,2015
95,Bosnia and Herzegovina,4.949,2015
97,Dominican Republic,4.885,2015
99,Mongolia,4.874,2015
101,Greece,4.857,2015
102,Lebanon,4.839,2015
103,Hungary,4.8,2015
104,Honduras,4.788,2015
105,Tajikistan,4.786,2015
106,Tunisia,4.739,2015
108,Bangladesh,4.694,2015
109,Iran,4.686,2015
110,Ukraine,4.681,2015
111,Iraq,4.677,2015
112,South Africa,4.642,2015
113,Ghana,4.633,2015
114,Zimbabwe,4.61,2015
116,India,4.565,2015
120,Nepal,4.514,2015
121,Ethiopia,4.512,2015
122,Sierra Leone,4.507,2015
124,Kenya,4.419,2015
126,Armenia,4.35,2015
128,Myanmar,4.307,2015
129,Georgia,4.297,2015
130,Malawi,4.292,2015
131,Sri Lanka,4.271,2015
132,Cameroon,4.252,2015
133,Bulgaria,4.218,2015
134,Egypt,4.194,2015
137,Mali,3.995,2015
140,Uganda,3.931,2015
141,Senegal,3.904,2015
142,Gabon,3.896,2015
